follower_id,followee_id,created_at
67,59,2016-12-09 18:05:06
47,80,2017-03-17 04:47:54
5,83,2016-12-21 23:06:40
50,91,2016-08-30 18:47:53
81,78,2017-01-06 00:06:59
52,51,2017-08-19 02:26:56
85,48,2017-10-16 20:18:23
64,25,2018-02-16 07:35:34
10,54,2016-11-30 01:24:47
3,15,2017-08-03 09:34:41
24,74,2018-02-19 13:50:45
49,18,2018-03-09 21:15:32
88,95,2017-01-27 23:13:06
83,16,2017-05-24 17:37:49
40,54,2017-11-26 23:55:06
41,19,2016-12-02 10:55:34
33,15,2017-01-24 10:38:08
5,96,2018-04-16 17:39:37
10,31,2017-10-15 22:56:18
34,16,2017-07-07 21:46:00
66,48,2017-06-01 19:47:06
86,26,2017-10-06 10:45:20
65,3,2016-09-07 07:58:15
89,31,2016-09-24 10:27:33
14,37,2017-08-04 16:16:51
15,2,2017-04-30 09:00:26
67,49,2018-04-10 15:28:07
90,32,2016-09-27 06:24:54
21,18,2017-09-19 11:36:39
92,78,2018-04-08 04:08:01
10,8,2017-05-22 14:29:38
69,94,2016-10-10 17:36:44
10,44,2017-10-14 21:53:01
22,18,2017-07-27 08:33:03
32,68,2016-06-30 10:35:32
43,77,2017-03-02 18:28:37
82,5,2017-01-07 14:53:29
96,89,2016-08-02 20:28:16
7,11,2017-04-27 09:31:29
99,94,2018-04-23 11:33:50
6,15,2017-07-27 14:14:58
38,84,2017-08-27 15:28:51
63,28,2017-07-14 09:29:30
83,6,2016-07-26 09:46:08
50,58,2017-10-11 07:58:17
41,9,2017-05-14 23:09:56
27,74,2016-07-17 11:13:57
93,19,2017-09-02 14:55:14
91,95,2017-01-13 20:50:39
89,21,2016-11-18 19:30:56
16,37,2016-12-29 22:45:57
67,39,2016-09-21 22:19:46
4,99,2018-02-16 12:00:12
16,73,2016-10-11 22:01:33
17,38,2017-12-05 00:43:30
36,51,2016-06-22 13:48:20
40,21,2016-09-01 12:08:04
80,57,2017-05-28 20:07:48
38,97,2016-08-04 23:50:43
81,58,2016-07-21 18:53:00
73,54,2017-01-02 13:11:00
97,2,2017-12-01 07:13:29
2,30,2016-11-08 19:30:15
35,27,2017-07-11 08:20:59
14,4,2017-03-25 05:52:35
96,43,2017-06-18 12:04:10
87,74,2017-07-29 07:51:01
13,45,2017-12-19 09:03:18
17,15,2016-06-14 01:18:48
76,64,2016-06-21 19:10:16
92,45,2016-09-13 18:15:32
65,91,2017-07-13 17:39:16
80,70,2016-07-14 05:42:51
27,64,2017-03-17 10:58:33
19,60,2016-06-25 08:22:27
19,96,2018-03-09 09:00:15
20,61,2016-07-05 09:55:11
31,70,2016-10-05 13:45:26
78,2,2018-04-03 14:35:27
24,31,2016-10-13 09:49:49
64,67,2016-08-26 02:47:10
1,47,2016-08-15 18:22:07
100,26,2017-07-31 00:44:01
46,55,2016-06-16 19:43:21
77,42,2018-02-10 05:31:42
49,60,2016-09-06 21:24:55
28,37,2017-07-06 07:04:25
7,63,2018-02-11 11:21:59
6,18,2017-04-28 15:28:45
12,34,2017-11-07 00:51:11
4,30,2017-04-06 09:58:40
84,59,2017-09-13 07:22:43
41,97,2016-09-11 09:37:18
99,38,2018-04-03 20:58:43
59,2,2017-09-26 13:42:39
37,63,2017-03-26 15:38:19
16,40,2016-09-04 08:05:31
57,41,2017-07-22 20:25:30
17,5,2017-03-13 17:35:53
28,14,2017-03-19 19:24:48
88,65,2017-11-01 08:54:22
78,100,2017-06-27 00:37:36
42,34,2017-10-22 14:19:55
11,46,2017-06-17 19:54:01
84,36,2016-09-19 16:27:59
29,100,2017-01-16 21:02:23
95,45,2016-06-26 14:28:01
33,70,2017-01-24 16:16:40
13,12,2017-06-14 17:21:35
44,79,2017-12-29 03:58:00
16,17,2018-03-21 11:18:32
34,71,2017-05-07 05:14:04
53,84,2018-03-08 03:02:42
3,83,2016-09-06 20:25:16
49,50,2016-11-21 07:33:41
15,57,2017-10-15 21:36:19
80,37,2017-02-11 03:03:15
81,2,2016-10-23 14:40:47
79,78,2018-02-22 17:14:24
90,87,2017-11-18 20:37:50
94,57,2017-01-25 02:08:44
20,28,2017-10-19 09:10:33
31,37,2017-07-27 11:20:23
4,20,2017-05-12 05:29:01
23,33,2016-07-08 11:42:12
75,80,2017-12-31 21:47:56
25,79,2017-07-22 00:12:10
85,93,2017-03-02 07:37:03
56,66,2017-12-28 17:47:38
68,40,2017-12-11 18:11:51
28,4,2017-04-17 23:44:20
15,34,2017-01-28 11:43:03
59,77,2017-09-16 17:35:07
98,68,2017-11-09 20:11:59
90,64,2016-08-23 03:49:28
48,67,2017-08-10 02:49:18
8,31,2017-06-20 04:38:03
11,36,2016-06-14 05:54:05
31,14,2017-11-15 04:25:22
91,65,2016-11-18 07:11:09
29,90,2017-08-23 04:08:18
41,64,2016-07-10 15:26:38
87,31,2017-10-21 06:12:56
53,38,2018-03-04 19:05:58
72,51,2017-10-12 05:05:32
64,47,2017-12-13 15:13:27
2,72,2017-07-14 00:20:13
34,61,2017-03-31 04:16:51
66,93,2017-08-20 10:42:44
32,100,2018-04-24 09:52:14
3,73,2017-11-18 11:44:15
67,94,2018-02-20 13:31:50
98,81,2017-12-30 23:40:25
71,64,2016-11-17 05:09:08
84,3,2017-03-25 19:03:03
48,80,2016-12-27 22:21:18
60,54,2017-06-16 18:54:36
96,13,2018-02-10 09:08:50
88,9,2017-09-27 16:51:10
45,47,2017-01-02 12:01:16
65,25,2016-10-17 05:58:47
10,89,2017-11-19 17:15:11
15,24,2016-06-11 11:34:00
26,33,2017-08-01 06:31:31
18,29,2016-11-01 17:07:48
30,3,2016-08-08 00:12:14
82,50,2017-04-16 06:49:58
42,14,2016-12-22 03:25:00
92,100,2017-12-03 16:41:48
83,51,2017-05-05 03:26:54
