photo_id,tag_id
26,21
133,4
152,17
83,3
102,16
8,9
94,12
220,8
84,4
189,20
53,16
205,1
171,8
190,21
163,4
223,18
121,7
79,10
48,22
177,23
197,1
22,5
148,1
120,19
246,15
151,6
78,22
162,21
113,16
227,1
18,7
193,8
144,3
94,2
228,2
52,5
197,14
53,6
200,25
97,12
215,4
140,10
181,11
101,18
216,5
208,1
227,14
174,8
193,21
143,20
230,25
41,9
60,22
25,1
93,19
167,5
10,21
211,11
203,7
128,13
34,6
120,9
139,22
67,3
37,11
78,12
3,18
223,21
26,1
154,7
71,9
82,18
123,19
238,6
230,2
105,7
116,16
66,15
253,21
200,15
211,24
231,2
22,8
150,14
67,16
78,25
196,17
112,23
185,7
218,4
230,15
135,6
180,14
191,23
219,5
169,4
13,22
233,25
97,15
89,11
55,18
215,7
134,19
59,25
173,10
5,17
226,22
123,9
81,12
116,6
157,7
127,15
168,16
192,1
211,14
150,4
70,11
146,6
81,25
54,8
73,21
180,4
199,17
138,7
160,25
66,18
32,25
24,21
184,10
89,1
244,24
150,17
55,8
47,4
5,7
226,12
237,21
145,23
210,3
137,19
54,21
168,6
221,18
126,9
32,2
224,23
43,11
88,19
77,9
28,4
80,14
206,10
114,12
240,8
255,24
107,9
13,2
233,5
24,11
252,18
65,12
16,7
205,23
236,10
142,3
100,6
11,13
239,20
156,22
240,21
4,10
232,17
138,10
140,19
225,14
217,10
7,20
133,16
144,25
94,24
228,24
31,4
178,23
87,21
34,15
126,12
45,24
76,11
129,23
113,15
46,25
156,12
114,15
106,11
72,18
45,1
224,3
190,10
182,6
14,13
99,8
65,15
57,11
235,17
18,19
133,6
94,14
228,14
52,17
167,4
84,6
95,15
254,8
76,1
182,19
121,9
140,22
181,23
247,5
79,12
98,25
90,21
82,17
208,13
40,20
30,6
83,18
124,19
33,17
64,4
67,15
151,8
57,1
196,16
101,7
26,13
113,18
110,12
44,3
186,7
10,10
136,6
139,11
184,19
212,1
231,14
223,10
82,7
9,23
29,1
48,14
158,2
143,22
116,5
242,1
2,19
117,6
109,2
86,18
59,1
212,14
245,11
215,19
154,9
173,22
165,18
71,11
249,17
155,10
74,21
47,3
17,17
229,16
21,23
127,4
191,25
120,1
13,24
78,4
55,20
256,10
214,13
92,24
226,24
131,15
115,7
257,11
176,23
81,14
73,10
6,20
199,6
168,18
74,11
93,24
66,7
85,20
13,1
32,14
192,3
24,10
16,6
35,19
150,6
119,18
226,1
9,3
69,17
206,22
145,12
115,20
54,10
73,23
20,17
12,13
240,20
232,16
51,4
130,5
96,12
99,17
217,9
236,22
47,6
194,25
5,9
226,14
58,21
42,13
176,13
81,4
228,23
39,7
11,25
218,9
205,12
252,7
43,13
130,18
96,25
88,21
153,1
46,24
248,9
175,25
80,16
206,12
30,15
62,4
103,5
201,19
20,7
39,20
232,6
149,8
190,9
13,4
65,14
16,9
76,23
183,6
202,19
175,2
26,22
133,5
144,14
102,17
220,9
186,16
197,25
103,18
95,14
87,10
4,12
96,15
183,19
175,15
206,2
133,18
91,21
83,17
209,13
23,2
178,25
87,23
34,17
205,15
65,4
151,7
235,6
18,8
102,7
208,25
27,13
155,19
30,18
158,24
103,8
114,17
224,5
231,13
14,15
235,19
18,21
177,14
143,21
33,6
167,6
44,15
136,18
139,23
254,10
45,16
205,5
3,19
204,9
215,18
121,11
113,7
132,20
173,21
79,14
71,10
82,19
75,16
41,23
147,4
234,9
200,16
117,18
203,21
22,9
254,23
196,18
238,20
230,16
94,6
155,22
44,5
178,5
10,12
170,1
45,6
78,3
212,3
184,21
55,19
142,24
129,5
47,15
181,15
132,10
173,11
79,4
9,25
101,22
29,3
249,6
40,12
174,12
185,21
218,18
242,3
74,10
44,18
211,15
128,17
169,18
120,13
67,7
245,13
173,24
112,14
115,19
241,15
105,11
116,20
66,19
139,3
97,6
184,11
89,2
47,5
134,10
153,23
229,18
154,24
195,25
230,19
93,13
51,16
138,21
2,11
203,1
169,8
161,4
172,13
245,3
28,5
162,5
134,23
195,2
5,21
112,4
131,17
21,2
62,3
241,5
105,1
191,4
108,6
13,3
118,19
233,6
16,8
244,15
35,21
161,17
100,7
119,20
92,3
226,3
17,9
9,5
248,21
179,7
104,13
62,16
73,25
188,12
221,9
12,15
191,17
138,11
1,5
99,19
233,19
24,25
236,24
100,20
5,11
58,23
251,9
8,22
73,2
54,25
255,15
160,6
213,18
32,6
205,14
244,5
171,21
88,23
247,16
111,6
77,13
69,9
61,5
27,12
187,1
122,20
95,3
23,14
243,17
149,10
