id,tag_name,created_at
1,sunset,2016-05-06 15:16:51
2,photography,2016-05-06 15:16:51
3,beach,2016-05-06 15:16:51
4,travel,2016-05-06 15:16:51
5,nature,2016-05-06 15:16:51
6,food,2016-05-06 15:16:51
7,happy,2016-05-06 15:16:51
8,fashion,2016-05-06 15:16:51
9,art,2016-05-06 15:16:51
10,fitness,2016-05-06 15:16:51
11,selfie,2016-05-06 15:16:51
12,love,2016-05-06 15:16:51
13,music,2016-05-06 15:16:51
14,lifestyle,2016-05-06 15:16:51
15,sky,2016-05-06 15:16:51
16,portrait,2016-05-06 15:16:51
17,summer,2016-05-06 15:16:51
18,instagood,2016-05-06 15:16:51
19,explore,2016-05-06 15:16:51
20,adventure,2016-05-06 15:16:51
21,motivation,2016-05-06 15:16:51
22,style,2016-05-06 15:16:51
23,beautiful,2016-05-06 15:16:51
24,photooftheday,2016-05-06 15:16:51
25,life,2016-05-06 15:16:51
